ID,CPUmodel,GPUmodel,TotCred,RAC
2843386,11TH GEN INTEL(R) CORE(TM) I9-11900F @ 2.50GHZ [FAMILY 6 MODEL 167 STEPPING 1],[CUDA|NVIDIA GEFORCE RTX 3060|1|4095MB|51694|300],66710.0,548.264274
2812638,INTEL(R) CORE(TM) I7-6500U CPU @ 2.50GHZ [FAMILY 6 MODEL 78 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 520|1|3068MB||201],54198.0,2.716588
2826232,INTEL(R) CORE(TM) I5-6400 CPU @ 2.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|NVIDIA GEFORCE GT 720|1|2048MB|47239|300],123140.0,524.597455
2822130,INTEL(R) CORE(TM) I5-5300U CPU @ 2.30GHZ [FAMILY 6 MODEL 61 STEPPING 4],[INTEL|INTEL(R) HD GRAPHICS 5500|1|4038MB||200],24724.0,35.343424
2835159,11TH GEN INTEL(R) CORE(TM) I7-11800H @ 2.30GHZ [FAMILY 6 MODEL 141 STEPPING 1],[CUDA|NVIDIA GEFORCE RTX 3070 LAPTOP GPU|1|4095MB|52756|300],44230.0,10.779882
2813783,INTEL(R) CORE(TM) I7-4790 CPU @ 3.60GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4600|1|1784MB||102],267086.0,1869.399815
2810424,INTEL(R) CORE(TM) I3-6100 CPU @ 3.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 530|1|1488MB||200],82102.0,350.536395
2815618,INTEL(R) CORE(TM) I3-4170 CPU @ 3.70GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4400|1|1488MB||102],189316.0,1355.484025
2810810,AMD A8-5500 APU WITH RADEON(TM) HD GRAPHICS     [FAMILY 21 MODEL 16 STEPPING 1],[CAL|AMD RADEON HD 7500/7600/8500/8600 SERIES (DEVASTATOR)|1|512MB|1.4.1848|102],31114.0,264.733031
2836212,INTEL(R) PENTIUM(R) CPU G3220T @ 2.60GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS|1|1488MB||102],800.0,51.940538
2840823,AMD RYZEN 5 4600H WITH RADEON GRAPHICS [FAMILY 23 MODEL 96 STEPPING 1],[CUDA|NVIDIA GEFORCE GTX 1650|1|4095MB|52225|300][CAL|AMD RADEON(TM) GRAPHICS|1|3169MB||200],17160.0,38.515421
2830521,INTEL(R) CORE(TM) I3-3220 CPU @ 3.30GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS 2500|1|1400MB||102],108270.0,1040.659215
1914694,INTEL(R) CORE(TM) I5-6400 CPU @ 2.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,733521.414296,1034.053004
