ID,CPUmodel,GPUmodel,TotCred,RAC
704324,INTEL(R) CORE(TM)2 DUO CPU E8235 @ 2.80GHZ [FAMILY 6 MODEL 23 STEPPING 6],NONE,933570.824897,932.658665
704327,INTEL(R) CORE(TM) I5-5250U CPU @ 1.60GHZ [X86 FAMILY 6 MODEL 61 STEPPING 4],[INTEL|INTEL(R) IRIS(TM) GRAPHICS 6100|1|1536MB||102],85496.06161,32.795367
704354,INTEL(R) CORE(TM) I7-9700K CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 13],[CUDA|NVIDIA GEFORCE GTX 1050 TI|1|4095MB|51694|300],4.095225866799e6,2516.792851
704377,INTEL(R) CORE(TM) I7-2630QM CPU @ 2.00GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|QUADRO 1000M|1|2048MB|37755|101],9035.533527,1.885473
704379,INTEL(R) XEON(R) E-2224G CPU @ 3.50GHZ [FAMILY 6 MODEL 158 STEPPING 10],[INTEL|INTEL(R) UHD GRAPHICS P630|1|3209MB||300],1.434125861062e6,5.583694
704438,INTEL(R) CORE(TM) I7-9700 CPU @ 3.00GHZ [FAMILY 6 MODEL 158 STEPPING 13],[CUDA|GEFORCE GT 1030|1|2048MB|45671|102][INTEL|INTEL(R) UHD GRAPHICS 630|1|3211MB||300],158105.230654,96.497228
704450,AMD RYZEN 9 3950X 16-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CAL|RADEON RX 5500 XT|1|8176MB||200],1.449890632523e6,5752.626016
704454,INTEL(R) CORE(TM) I7-8700 CPU @ 3.20GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|GEFORCE GTX 1060 6GB|1|4095MB|45671|102],5.090403972848e6,435.079462
704475,INTEL(R) CORE(TM) I5-7400 CPU @ 3.00GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 1060 6GB|1|6143MB|53161|300],728566.428071,441.919668
704501,INTEL(R) CORE(TM) I5-9400F CPU @ 2.90GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|NVIDIA GEFORCE GTX 1650|1|4095MB|51252|300],723598.578451,1435.376111
704517,AMD PHENOM(TM) II X2 555 PROCESSOR [FAMILY 16 MODEL 4 STEPPING 3],[CUDA|GEFORCE 210|1|512MB|34201|0],34852.4882,52.414076
704571,INTEL(R) CORE(TM) I7-8700 CPU @ 3.20GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|QUADRO P620|1|2048MB|45148|102],4.519783936304e6,159.53981
704591,INTEL(R) CORE(TM) I7-8750H CPU @ 2.20GHZ [FAMILY 6 MODEL 158 STEPPING 10],[CUDA|QUADRO P2000|1|4040MB|47099|300],253486.540392,3.517672
704606,INTEL(R) CORE(TM) I7-3770 CPU @ 3.40GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|NVS 310|1|512MB|39262|0],1.049465388207e6,1.113542
704729,PENTIUM(R) DUAL-CORE CPU E5500 @ 2.80GHZ [FAMILY 6 MODEL 23 STEPPING 10],NONE,43274.96598,190.781552
704752,INTEL(R) CORE(TM) I9-9900K CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 13],[INTEL|INTEL(R) UHD GRAPHICS 630|1|6498MB||300],6.953275912341e7,15229.87842
704769,AMD RYZEN 5 3500U WITH RADEON VEGA MOBILE GFX [FAMILY 23 MODEL 24 STEPPING 1],"[CAL|AMD RADEON VEGA 8 GRAPHICS (RAVEN, LLVM 15.0.7, DRM 3.42, 5.15.0-69-GENERIC)|1|3072MB||101]",102113.59592,380.958084
704777,INTEL(R) CORE(TM) I7-2600 CPU @ 3.40GHZ [FAMILY 6 MODEL 42 STEPPING 7],[CUDA|NVIDIA GEFORCE GTX 750 TI|1|2048MB|47362|300],285234.716122,2.595616
704832,INTEL(R) CORE(TM) I3-8100 CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 11],NONE,695472.904221,4837.13439
704834,INTEL(R) CORE(TM) I5-7360U CPU @ 2.30GHZ [X86 FAMILY 6 MODEL 142 STEPPING 9],[INTEL|INTEL(R) IRIS(TM) PLUS GRAPHICS 640|1|1536MB||102],305170.924889,642.36465
